Moped:|C|Se nesmí vléci, smí se však užít jako vlečné vozidlo.|Se smí vléci, nesmí se však užít jako vlečné vozidlo.|Se nesmí vléci ani užít jako vlečné vozidlo.
Motocykl s postranním vozíkem:|C|Se nesmí vléci, smí se však užít jako vlečné vozidlo.|Se smí vléci, nesmí se však užít jako vlečné vozidlo.|Se smí vléci i užít jako vlečné vozidlo.
Čím je rychlost jízdy motocyklu vyšší:|C|Tím lépe lze projíždět zatáčky o malém poloměru.|Tím více v zatáčkách natáčíme řídítka.|Tím více musí být v zatáčce motocykl naklopen.
Pokud je při jízdě na motocyklu nezbytné v nájezdu do zatáčky brzdit, potom je nejvhodnější:|A|Brzdit přední i zadní brzdou, postupně a s výrazně menší silou, než při přímé jízdě.|Rychle přeřadit na nižší rychlostní stupeň s následně prudkým puštěním páčky spojky.|Intenzivně brzdit pouze přední nebo zadní brzdou.
Kdy je efektivní používat tempomat?|A|Pokud dopravní situace umožní jízdu stejnoměrnou rychlostí.|Jen ve stoupání nebo klesání.|Jen při vysokých rychlostech.
Při výměně pravého předního kola nákladního vozidla se nejlépe zabrání nežádoucímu pohybu vozidla:|A|Zajištěním levého zadního kola dvěma zakládacími klíny, jedním před kolem a druhým za kolem.|Zajištěním levého předního kola zakládacím klínem před kolem při současném zajištění kteréhokoliv zadního kola zakládacím klínem za kolem.|Zajištěním pravého zadního kola dvěma zakládacími klíny, jedním před kolem a druhým za kolem.
Jak při výměně pravého předního kola nejlépe zajistíte vozidlo před nežádoucím pohybem:|A|Levé zadní kolo se zajistí dvěma zakládacími klíny, jedním klínem před kolem a jedním za kolem.|Před levé přední kolo a před libovolné zadní kolo se dá po jednom zakládacím klínu.|Zakládací klín se dá před levé přední kolo.
Jaké důsledky mohou mít síly působící na náklad při průjezdu zatáčkou?|A|Nedostatečně upevněný náklad se může v zatáčce vysypat nebo posunout.|V zatáčce získává vozidlo větší stabilitu v důsledku vyšší hmotnosti.|Průjezd zatáčkou nemá žádný vliv na náklad.
Při jízdě v obytné zóně se před Vaším vozidlem náhle objeví kutálející se míč. Jak byste měli reagovat?|A|Okamžitě začít brzdit, protože na vozovku za míčem mohou vběhnout děti.|Pokračovat v jízdě, protože děti vědí, že mají zůstat stát mimo vozovku a počkat, až auto přejede.|Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí.
Při jízdě v obci se před Vaším vozidlem náhle objeví kutálející se míč. Jak byste měli reagovat?|A|Okamžitě snížit rychlost jízdy nebo i zastavit vozidlo, protože na vozovku za míčem mohou vběhnout děti.|Pokračovat v jízdě, protože děti vědí, že mají zůstat stát na okraji chodníku a počkat, až auto přejede.|Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí.
Při jízdě se před Vaším vozidlem zpoza parkujících aut náhle objeví kutálející se míč. Jak byste měli reagovat?|A|Okamžitě snížit rychlost jízdy nebo i zastavit vozidlo, protože na vozovku za míčem mohou vběhnout děti.|Pokračovat v jízdě, protože děti vědí, že mají zůstat stát na okraji chodníku a počkat, až auto přejede.|Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí.
Jaké důsledky mohou mít síly působící při průjezdu zatáčkou na větší náklad, který přepravujete na střešním nosiči zavazadel vozidla?|A|Na náklad působí odstředivá síla, takže se může vysypat nebo posunout.|V zatáčce získává vozidlo větší stabilitu, protože náklad snižuje těžiště vozidla.|Průjezd zatáčkou nemá žádný vliv na náklad, nemění se těžiště ani jízdní vlastnosti vozidla.
Pokud kontrolka směrových světel bliká výrazně rychleji než obvykle, může být příčinou:|A|Závada na některé ze žárovek směrových světel.|Závada na přepínači směrových světel.|Závada na startéru vozidla.
Za jízdy na motocyklu je řidič povinen:|A|Mít na hlavě nasazenou a řádně připevněnou ochrannou přílbu schváleného typu.|Nosit ochranný oděv, například koženou kombinézu.|Používat pouze kožené plné boty.
Řidič motocyklu nebo mopedu si za jízdy musí chránit zrak:|B|Pouze při zhoršených povětrnostních podmínkách, například za deště nebo sněžení.|Vhodným způsobem, například brýlemi nebo štítem, pokud tím není snížena bezpečnost jízdy.|Pouze za ostrého slunce slunečními brýlemi s ochranným UV faktorem.
Může řidič motocyklu přepravovat osobu, která nedosáhne nohama na stupačky?|B|Ano, ale jen v obci.|Nesmí.|Může, pokud je přepravované osobě více než 12 let.
Co se rozumí aktivní bezpečností vozidla?|B|Vlastnosti vozidla minimalizující škody v průběhu dopravní nehody.|Vlastnosti vozidla minimalizující příčiny vzniku dopravní nehody.|Vlastnosti vozidla minimalizující následky dopravní nehody po jejím vzniku.
Co se rozumí pasivní bezpečností vozidla?|A|Souhrn vlastností vozidla minimalizujících škody v průběhu dopravní nehody.|Souhrn vlastností vozidla minimalizujících příčiny vzniku dopravní nehody.|Souhrn vlastností vozidla vylučujících následky dopravní nehody.
Mezi prvky pasivní bezpečnosti patří:|B|Účinný brzdový systém.|Zádržné systémy.|Aerodynamická stabilita.
Airbagy:|A|Plní svou funkci pouze při řádném užití zádržných systémů .|Plně nahrazují funkci bezpečnostních pásů i jiných zádržných systémů.|Plní svou funkci pouze ve vozidlech vybavených systémem ABS.
Pohon všech kol zajišťuje automobilu zejména:|B|Lepší akceleraci a snazší dosažení maximální rychlosti.|Zlepšení jízdních vlastností za zhoršených adhezních podmínek.|Snížení spotřeby paliva při současném zlepšení jízdních vlastností.
Přípojné vozidlo je:|C|Pouze přívěs.|Pouze návěs.|Přívěs i návěs.
Mezi prvky aktivní bezpečnosti patří:|C|Airbag.|Deformovatelná příď.|Dobrý výhled z vozidla.
Mezinárodní silniční doprava je:|A|Doprava, při níž místo výchozí a místo cílové leží na území dvou různých států, nebo doprava, při níž místo výchozí a cílové sice leží na území téhož státu, ale část jízdy se uskuteční na území jiného státu.|Doprava, při které je dopravcem užito vozidlo s registrační značkou cizího státu, který není členem Evropských společenství.|Doprava, při níž mají dopravce a zasílatel bydliště nebo sídlo ve dvou různých státech.
Může být schopnost k řízení vozidla ovlivněna i po požití malého množství alkoholu, např. půl litru desetistupňového piva?|A|Ano, i malé množství požitého alkoholu snižuje schopnost k řízení motorového vozidla.|Ne, pokud se alkohol pije zároveň s černou kávou.|Ne, malé množství požitého alkoholu neovlivňuje schopnost k řízení motorového vozidla.
Za okružní jízdu se považuje:|A|mezinárodní příležitostná přeprava osob na objednávku po předem vyhrazené okružní trase, a je přepravovaná stejná skupina cestujících stejným vozidlem.|jízda s cestovní kanceláří s poznávacím cílem.|přeprava osob na lince osobní dopravy městy a obcemi, kdy výchozí a konečné místo cesty je stejné.
Za protiprávní jednání při přepravě nebezpečného nákladu se považuje:|A|pokud zboží není povoleno k přepravě.|pokud je  k přepravě použito vozidlo výroby starší než jsou dva roky.|pokud náklad není označen voděodolnou barvou s přesným chemickým složením.
Vozidlo, které přepravuje nebezpečný náklad:|A|Musí být označeno oranžovými výstražnými panely, které odpovídají předpisům.|Musí být označeno zvláštním výstražným světlem žluté barvy.|Nemusí být označeno, stačí jen prohlášení odesílatele o zboží, které má u sebe řidič vozidla.
Jaká je možná příčina vzniku nebezpečí pádu motocyklu v zatáčkách?|A|Olej na vozovce.|Svislé dopravní značení.|Zvýšený okraj na vnější straně vozovky.
Jaká je častá příčina vzniku nebezpečí pádu motocyklu v zatáčkách?|B|Snížená krajnice vozovky.|Vodorovné dopravní značení.|Zvýšený okraj na vnější straně vozovky.
Na dálnici musíte počítat se silným bočním větrem především:|A|Na mostech.|V podjezdech.|Mezi protihlukovými stěnami.
Na dálnici musíte počítat se silným bočním větrem především:|B|V lesních úsecích.|V otevřeném terénu.|Mezi protihlukovými stěnami.
Za minimální bezpečnou vzdálenost mezi za sebou jedoucími vozidly je zpravidla považován:|A|Časový rozestup dvou sekund.|Časový rozestup pěti sekund.|Časový rozestup tři čtvrtě sekundy.
Brzdná dráha jízdní soupravy složené z motorového vozidla a brzděného přívěsu je v porovnání s brzdnou drahou samotného motorového vozidla:|B|Kratší.|Delší.|Stejná.
Brzdná dráha jízdní soupravy s brzděným přívěsem je v porovnání s brzdnou drahou soupravy s nebrzděným přívěsem o stejné hmotnosti:|A|Kratší.|Delší.|Stejná.
Zvýšené riziko ztráty přilnavosti pneumatik a následného smyku za deště hrozí:|A|V úseku s vyjetými kolejemi.|Na silnicích nižší třídy.|Na vozovce s betonovým povrchem.
Stanice technické kontroly může při pravidelné technické prohlídce:|A|Seřizovat světlomety, pokud se jedná o jednoduché seřízení.|Seřizovat řídící funkce motoru u motorů s řízeným emisním systémem.|Seřizovat brzdovou soustavu, řízení a nápravu.
Silniční vozidlo je technicky způsobilé k provozu na pozemních komunikacích, pokud:|A|Technickou prohlídkou silničního vozidla, jeho ústrojí a částí nebyly zjištěny žádné závady nebo jen lehké závady.|Technickou prohlídkou silničního vozidla, jeho ústrojí a částí nebyly zjištěny žádné závady.|Technickou prohlídkou silničního vozidla, jeho ústrojí a částí byly zjištěny jen závady, které neohrožují bezprostředně bezpečnost jízdy.
Pokud je na silničním vozidle shledána vážná závada, je vozidlo:|A|Technicky způsobilé k provozu pouze na dobu 30 dnů ode dne vyznačení zápisu výsledku technické prohlídky silničního vozidla.|Technicky nezpůsobilé k provozu po dobu nutnou k odstranění závady ode dne vyznačení zápisu výsledku technické prohlídky silničního vozidla.|Technicky nezpůsobilé k provozu na pozemních komunikacích ode dne vyznačení zápisu výsledku technické prohlídky silničního vozidla.
Pokud je technickou prohlídkou silničního vozidla shledána nebezpečná závada:|A|Vozidlo je technicky nezpůsobilé k provozu a nesmí být v provozu používáno.|Vozidlo je technicky způsobilé k provozu pouze na dobu 30 dnů.|Stanice kontroly technického stavu vozidla je povinna závadu odstranit.
Pokud je technickou prohlídkou vozidlo shledáno technicky nezpůsobilé :|A|Stanice technické kontroly provede zápis do technického průkazu a odstraní ze zadní tabulky registrační značky kontrolní nálepku.|Předá protokol o zjištěné závadě na motorovém vozidle provozovateli vozidla, který je povinen tuto závadu odstranit do 30 dnů.|Předá protokol o zjištěné závadě na motorovém vozidle Policii ČR.
Přestavbou silničního vozidla je:|A|Změna nebo úprava podstatných částí mechanismu nebo konstrukce provozovaného silničního vozidla.|Každá oprava vozidla, při které bylo použito náhradních dílů.|Nahrazení nebo doplnění vozidla součástí nebo výbavou, která splňuje podmínky stanovené zákonem.
Za přestavbu silničního vozidla se považuje:|A|Změna nebo úprava podstatných částí mechanismu nebo konstrukce provozovaného silničního vozidla.|Výměna podstatné části mechanizmu nebo konstrukce silničního vozidla za náhradní díl k vozidlu.|Nahrazení nebo doplnění vozidla součástí nebo výbavou, která splňuje podmínky stanovené zákonem.
Výrobce motorů, systémů a zařízení k pohonu vozidel:|A|Předepisuje pohonné hmoty, provozní hmoty a maziva používané k provozu silničních motorových vozidel.|Doporučuje pohonné hmoty a provozní hmoty používané v provozu silničních motorových vozidel.|Neurčuje pohonné hmoty a provozní hmoty používané v provozu silničních motorových vozidel.
Správný tlak huštění pneumatik se zjišťuje:|A|Na studených, jízdou nezahřátých pneumatikách.|Na jízdou zahřátých pneumatikách.|Na pneumatikách bez ohledu na jejich teplotu.
Co může vést ke smyku vozidla při průjezdu zatáčkami?|B|Jízda při středové dělicí čáře.|Nízký tlak v pneumatikách.|Nedostatečná rychlost jízdy.
Co může vést ke smyku vozidla při průjezdu zatáčkami?|B|Malá hmotnost vozidla.|Velké rozdíly v nahuštění jednotlivých pneumatik.|Malá hmotnost nákladu.
Smyk vozidla při průjezdu zatáčkou může způsobit?|B|Malá hmotnost vozidla.|Vadný tlumič pérování vozidla.|Snížená viditelnost.
Musíte být opatrní, chcete-li použít k jízdě vozidlo, se kterým jedete poprvé?|A|Ano. Ovládací prvky a rozměry vozidla mohou být pro Vás nezvyklé.|Ano. Pouze pokud je vozidlo na jiný typ paliva.|Ne. Každé vozidlo se ovládá stejně.
